PS Power, PL Power, MGT Power, Total Power
 0.015, 0.583, 0.000, 0.597
 0.011, 1.154, 0.000, 1.166
 0.015, 0.936, 0.000, 0.951
 0.012, 0.888, 0.000, 0.900
 0.012, 1.034, 0.000, 1.046
 0.011, 1.162, 0.000, 1.173
 0.011, 1.280, 0.000, 1.291
 0.010, 0.135, 0.000, 0.145
 0.010, 0.132, 0.000, 0.142
 0.010, 0.130, 0.000, 0.141
 0.010, 0.129, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.120, 0.000, 0.130
 0.008, 0.119, 0.000, 0.127
 0.008, 0.119, 0.000, 0.126
 0.008, 0.119, 0.000, 0.126
 0.011, 0.118, 0.000, 0.129
 0.011, 0.118, 0.000, 0.129
 0.011, 0.118, 0.000, 0.129
 0.011, 1.163, 0.000, 1.174
 0.011, 1.275, 0.000, 1.286
 0.012, 0.850, 0.000, 0.862
 0.013, 0.763, 0.000, 0.777
 0.012, 0.931, 0.000, 0.943
 0.011, 1.315, 0.000, 1.326
 0.012, 1.205, 0.000, 1.217
 0.011, 0.941, 0.000, 0.952
 0.012, 1.253, 0.000, 1.265
 0.012, 0.946, 0.000, 0.958
 0.013, 0.800, 0.000, 0.813
 0.014, 0.636, 0.000, 0.650
 0.012, 1.255, 0.000, 1.267
 0.014, 0.883, 0.000, 0.898
 0.012, 1.361, 0.000, 1.373
 0.012, 0.809, 0.000, 0.821
 0.011, 1.214, 0.000, 1.224
 0.012, 0.988, 0.000, 0.999
 0.012, 0.887, 0.000, 0.899
 0.012, 1.116, 0.000, 1.128
 0.012, 1.032, 0.000, 1.044
 0.011, 1.317, 0.000, 1.328
 0.012, 1.079, 0.000, 1.091
 0.012, 0.930, 0.000, 0.943
 0.014, 0.657, 0.000, 0.671
 0.012, 1.357, 0.000, 1.369
 0.011, 1.215, 0.000, 1.226
 0.012, 0.936, 0.000, 0.948
 0.013, 0.982, 0.000, 0.994
 0.012, 0.972, 0.000, 0.984
 0.011, 0.134, 0.000, 0.144
 0.010, 0.131, 0.000, 0.142
 0.010, 0.130, 0.000, 0.141
 0.010, 0.129, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.120, 0.000, 0.130
 0.009, 0.119, 0.000, 0.128
 0.009, 0.119, 0.000, 0.128
 0.009, 0.119, 0.000, 0.128
 0.014, 0.693, 0.000, 0.707
 0.012, 1.079, 0.000, 1.091
 0.012, 1.061, 0.000, 1.073
 0.012, 0.978, 0.000, 0.990
 0.012, 0.698, 0.000, 0.710
 0.014, 0.977, 0.000, 0.991
 0.012, 0.971, 0.000, 0.983
 0.012, 0.848, 0.000, 0.860
 0.012, 1.020, 0.000, 1.032
 0.012, 1.153, 0.000, 1.164
 0.015, 0.855, 0.000, 0.870
 0.014, 0.594, 0.000, 0.608
 0.012, 1.262, 0.000, 1.274
 0.012, 1.067, 0.000, 1.078
 0.013, 0.771, 0.000, 0.784
 0.012, 0.812, 0.000, 0.824
 0.012, 0.934, 0.000, 0.946
 0.013, 1.205, 0.000, 1.218
 0.012, 0.814, 0.000, 0.826
 0.012, 1.080, 0.000, 1.092
 0.012, 1.035, 0.000, 1.047
 0.016, 0.538, 0.000, 0.554
 0.012, 0.888, 0.000, 0.900
 0.012, 1.068, 0.000, 1.080
 0.012, 1.014, 0.000, 1.026
 0.012, 1.174, 0.000, 1.185
 0.015, 0.629, 0.000, 0.644
 0.014, 0.898, 0.000, 0.912
 0.012, 0.802, 0.000, 0.815
 0.012, 1.030, 0.000, 1.042
 0.010, 0.132, 0.000, 0.143
 0.010, 0.131, 0.000, 0.141
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.129, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.120, 0.000, 0.130
 0.010, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.009, 0.119, 0.000, 0.128
 0.012, 0.812, 0.000, 0.824
 0.012, 1.031, 0.000, 1.043
 0.011, 1.159, 0.000, 1.170
 0.011, 1.378, 0.000, 1.389
 0.013, 0.979, 0.000, 0.992
 0.012, 1.030, 0.000, 1.041
 0.012, 1.027, 0.000, 1.039
 0.011, 1.254, 0.000, 1.265
 0.014, 1.027, 0.000, 1.041
 0.012, 1.158, 0.000, 1.170
 0.012, 1.306, 0.000, 1.318
 0.013, 0.664, 0.000, 0.677
 0.012, 0.843, 0.000, 0.855
 0.012, 0.858, 0.000, 0.870
 0.013, 0.723, 0.000, 0.736
 0.012, 0.939, 0.000, 0.952
 0.015, 0.702, 0.000, 0.717
 0.012, 0.941, 0.000, 0.953
 0.012, 1.061, 0.000, 1.073
 0.014, 0.723, 0.000, 0.737
 0.014, 0.736, 0.000, 0.750
 0.015, 0.455, 0.000, 0.470
 0.012, 1.021, 0.000, 1.033
 0.012, 0.806, 0.000, 0.818
 0.015, 0.550, 0.000, 0.565
 0.015, 0.727, 0.000, 0.742
 0.012, 0.582, 0.000, 0.594
 0.012, 0.738, 0.000, 0.750
 0.012, 0.898, 0.000, 0.910
 0.015, 0.861, 0.000, 0.876
 0.011, 0.134, 0.000, 0.144
 0.010, 0.132, 0.000, 0.142
 0.010, 0.130, 0.000, 0.141
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.120, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.009, 0.119, 0.000, 0.128
 0.011, 1.275, 0.000, 1.286
 0.011, 1.166, 0.000, 1.177
 0.011, 1.315, 0.000, 1.327
 0.011, 1.261, 0.000, 1.272
 0.012, 1.109, 0.000, 1.121
 0.012, 0.842, 0.000, 0.854
 0.015, 0.699, 0.000, 0.714
 0.012, 1.109, 0.000, 1.121
 0.012, 0.818, 0.000, 0.831
 0.011, 1.076, 0.000, 1.088
