PS Power, PL Power, MGT Power, Total Power
 0.012, 0.806, 0.000, 0.819
 0.012, 1.207, 0.000, 1.219
 0.010, 0.131, 0.000, 0.141
 0.010, 0.129, 0.000, 0.140
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.119, 0.000, 0.130
 0.010, 0.119, 0.000, 0.129
 0.010, 0.119, 0.000, 0.129
 0.010, 0.118, 0.000, 0.129
 0.011, 0.118, 0.000, 0.129
 0.011, 0.118, 0.000, 0.129
 0.011, 0.118, 0.000, 0.128
 0.012, 1.074, 0.000, 1.086
 0.012, 1.122, 0.000, 1.133
 0.012, 1.133, 0.000, 1.144
 0.015, 0.515, 0.000, 0.530
 0.012, 0.926, 0.000, 0.938
 0.011, 1.318, 0.000, 1.329
 0.012, 0.841, 0.000, 0.853
 0.012, 1.218, 0.000, 1.230
 0.014, 0.658, 0.000, 0.672
 0.012, 1.265, 0.000, 1.276
 0.012, 1.322, 0.000, 1.334
 0.015, 0.427, 0.000, 0.442
 0.012, 1.015, 0.000, 1.027
 0.011, 1.197, 0.000, 1.209
 0.012, 1.262, 0.000, 1.274
 0.012, 1.113, 0.000, 1.125
 0.015, 0.653, 0.000, 0.668
 0.011, 1.373, 0.000, 1.384
 0.011, 1.201, 0.000, 1.212
 0.013, 0.651, 0.000, 0.663
 0.012, 1.126, 0.000, 1.139
 0.014, 0.979, 0.000, 0.993
 0.012, 1.059, 0.000, 1.071
 0.011, 1.362, 0.000, 1.373
 0.012, 1.033, 0.000, 1.045
 0.012, 0.884, 0.000, 0.896
 0.012, 0.890, 0.000, 0.902
 0.013, 0.884, 0.000, 0.897
 0.014, 0.929, 0.000, 0.943
 0.015, 0.739, 0.000, 0.754
 0.010, 0.132, 0.000, 0.142
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.120, 0.000, 0.130
 0.010, 0.119, 0.000, 0.129
 0.011, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.129
 0.011, 0.118, 0.000, 0.129
 0.011, 0.118, 0.000, 0.129
 0.011, 0.118, 0.000, 0.129
 0.013, 0.730, 0.000, 0.743
 0.012, 1.219, 0.000, 1.231
 0.012, 0.934, 0.000, 0.946
 0.012, 0.844, 0.000, 0.856
 0.012, 1.120, 0.000, 1.132
 0.012, 1.274, 0.000, 1.285
 0.012, 0.590, 0.000, 0.603
 0.012, 1.308, 0.000, 1.320
 0.012, 1.409, 0.000, 1.421
 0.012, 1.078, 0.000, 1.090
 0.012, 1.253, 0.000, 1.264
 0.012, 1.034, 0.000, 1.045
 0.015, 0.741, 0.000, 0.755
 0.013, 0.734, 0.000, 0.746
 0.012, 1.175, 0.000, 1.187
 0.012, 1.199, 0.000, 1.210
 0.012, 1.224, 0.000, 1.236
 0.014, 0.779, 0.000, 0.793
 0.012, 1.356, 0.000, 1.368
 0.011, 1.361, 0.000, 1.373
 0.011, 1.271, 0.000, 1.283
 0.015, 0.670, 0.000, 0.685
 0.012, 1.016, 0.000, 1.029
 0.013, 1.262, 0.000, 1.275
 0.012, 0.941, 0.000, 0.953
 0.012, 1.260, 0.000, 1.272
 0.012, 0.979, 0.000, 0.991
 0.012, 0.974, 0.000, 0.986
 0.012, 1.253, 0.000, 1.265
 0.010, 0.136, 0.000, 0.146
 0.010, 0.131, 0.000, 0.142
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.120, 0.000, 0.130
 0.010, 0.119, 0.000, 0.129
 0.009, 0.119, 0.000, 0.128
 0.014, 0.119, 0.000, 0.132
 0.011, 0.118, 0.000, 0.129
 0.011, 0.118, 0.000, 0.129
 0.009, 0.118, 0.000, 0.127
 0.011, 1.257, 0.000, 1.269
 0.009, 1.252, 0.000, 1.261
 0.012, 1.031, 0.000, 1.043
 0.012, 1.034, 0.000, 1.046
 0.012, 1.066, 0.000, 1.077
 0.012, 0.939, 0.000, 0.951
 0.011, 1.160, 0.000, 1.172
 0.011, 1.223, 0.000, 1.234
 0.012, 1.120, 0.000, 1.132
 0.012, 1.154, 0.000, 1.165
 0.014, 0.732, 0.000, 0.746
 0.012, 1.106, 0.000, 1.118
 0.012, 0.979, 0.000, 0.991
 0.015, 0.848, 0.000, 0.863
 0.012, 1.212, 0.000, 1.224
 0.012, 1.250, 0.000, 1.262
 0.012, 0.920, 0.000, 0.933
 0.012, 0.970, 0.000, 0.982
 0.012, 1.014, 0.000, 1.025
 0.012, 1.023, 0.000, 1.035
 0.012, 1.305, 0.000, 1.317
 0.012, 1.208, 0.000, 1.219
 0.012, 0.920, 0.000, 0.933
 0.012, 1.211, 0.000, 1.223
 0.015, 0.844, 0.000, 0.859
